"seqnames","start","end","width","strand","sum_count","annotation"
"chr2",227615,228015,401,"*",6,"intron"
"chr2",232404,232804,401,"*",4,"intron"
"chr2",265333,265733,401,"*",5,"proximal"
"chr2",273007,273407,401,"*",7,"threeUTR"
"chr2",275167,275567,401,"*",17,"threeUTR"
"chr2",1055721,1056121,401,"*",4,"intron"
"chr2",1414761,1415161,401,"*",2,"intron"
"chr2",1421202,1421602,401,"*",6,"intron"
"chr2",1421396,1421796,401,"*",6,"intron"
"chr2",1922257,1922657,401,"*",6,"threeUTR"
"chr2",2605082,2605482,401,"*",8,"intergenic"
"chr2",2722900,2723300,401,"*",4,"intron"
"chr2",2865745,2866145,401,"*",7,"intergenic"
"chr2",3059397,3059797,401,"*",6,"intron"
"chr2",3296657,3297057,401,"*",7,"intron"
"chr2",3353607,3354007,401,"*",4,"intron"
"chr2",3424882,3425282,401,"*",6,"intron"
"chr2",3457587,3457987,401,"*",4,"proximal"
"chr2",3462300,3462700,401,"*",15,"intron"
"chr2",3544802,3545202,401,"*",5,"threeUTR"
"chr2",3575759,3576159,401,"*",86,"promoter"
"chr2",4285759,4286159,401,"*",4,"intron"
"chr2",7012600,7013000,401,"*",4,"intron"
"chr2",7116549,7116949,401,"*",6,"intergenic"
"chr2",7279328,7279728,401,"*",6,"intergenic"
"chr2",8408625,8409025,401,"*",8,"intron"
"chr2",8681636,8682036,401,"*",70,"promoter"
"chr2",8683255,8683655,401,"*",6,"intron"
"chr2",8743675,8744075,401,"*",4,"intron"
"chr2",8744335,8744735,401,"*",3,"intron"
"chr2",8744972,8745372,401,"*",4,"intron"
"chr2",8822168,8822568,401,"*",14,"intron"
"chr2",8858089,8858489,401,"*",12,"threeUTR"
"chr2",8858197,8858597,401,"*",10,"threeUTR"
"chr2",8868955,8869355,401,"*",4,"proximal"
"chr2",8986372,8986772,401,"*",18,"intron"
"chr2",9487997,9488397,401,"*",7,"promoter"
"chr2",9526399,9526799,401,"*",8,"intron"
"chr2",9538357,9538757,401,"*",4,"proximal"
"chr2",9540406,9540806,401,"*",6,"intron"
"chr2",9588026,9588426,401,"*",18,"CDS"
"chr2",9588146,9588546,401,"*",18,"CDS"
"chr2",9816682,9817082,401,"*",4,"intergenic"
"chr2",9960480,9960880,401,"*",7,"promoter"
"chr2",10134952,10135352,401,"*",5,"intron"
"chr2",10302535,10302935,401,"*",1054,"promoter"
"chr2",10352090,10352490,401,"*",8,"intron"
"chr2",10583715,10584115,401,"*",5,"intron"
"chr2",10600519,10600919,401,"*",8,"threeUTR"
"chr2",10617431,10617831,401,"*",6,"intron"
"chr2",10640969,10641369,401,"*",5,"intron"
"chr2",10673519,10673919,401,"*",9,"threeUTR"
"chr2",10787431,10787831,401,"*",11,"CDS"
"chr2",10812826,10813226,401,"*",92,"promoter"
"chr2",11198375,11198775,401,"*",7,"CDS"
"chr2",11208197,11208597,401,"*",5,"CDS"
"chr2",11238546,11238946,401,"*",7,"intron"
"chr2",11452661,11453061,401,"*",11,"proximal"
"chr2",11746786,11747186,401,"*",6,"intron"
"chr2",11767771,11768171,401,"*",4,"CDS"
"chr2",11786789,11787189,401,"*",4,"promoter"
"chr2",11866880,11867280,401,"*",429,"intron"
"chr2",11949300,11949700,401,"*",10,"intron"
"chr2",11956183,11956583,401,"*",2,"intron"
"chr2",11968393,11968793,401,"*",5,"intron"
"chr2",11970985,11971385,401,"*",6,"intron"
"chr2",12025372,12025772,401,"*",6,"intron"
"chr2",12037649,12038049,401,"*",11,"intron"
"chr2",12041979,12042379,401,"*",5,"intron"
"chr2",12042273,12042673,401,"*",5,"intron"
"chr2",12043831,12044231,401,"*",8,"intron"
"chr2",12045494,12045894,401,"*",9,"intron"
"chr2",12045532,12045932,401,"*",9,"intron"
"chr2",12059049,12059449,401,"*",8,"intron"
"chr2",12129767,12130167,401,"*",14,"intron"
"chr2",12147060,12147460,401,"*",6,"intron"
"chr2",12178066,12178466,401,"*",10,"intron"
"chr2",12193113,12193513,401,"*",8,"proximal"
"chr2",12201948,12202348,401,"*",18,"intron"
"chr2",12213435,12213835,401,"*",4,"intron"
"chr2",12236156,12236556,401,"*",6,"intron"
"chr2",12245199,12245599,401,"*",4,"intron"
"chr2",12296744,12297144,401,"*",6,"intron"
"chr2",12301862,12302262,401,"*",4,"intron"
"chr2",12334304,12334704,401,"*",5,"exon"
"chr2",12374400,12374800,401,"*",4,"intron"
"chr2",12397499,12397899,401,"*",6,"exon"
"chr2",12416026,12416426,401,"*",4,"exon"
"chr2",12451743,12452143,401,"*",4,"intron"
"chr2",12467101,12467501,401,"*",4,"intron"
"chr2",12478310,12478710,401,"*",6,"intron"
"chr2",12509501,12509901,401,"*",7,"intron"
"chr2",12534819,12535219,401,"*",7,"intron"
"chr2",12568597,12568997,401,"*",4,"intron"
"chr2",15228893,15229293,401,"*",4,"intron"
"chr2",15325413,15325813,401,"*",6,"intron"
"chr2",15366875,15367275,401,"*",8,"intron"
"chr2",15395128,15395528,401,"*",7,"intron"
"chr2",15395313,15395713,401,"*",7,"intron"
"chr2",15405051,15405451,401,"*",4,"intron"
"chr2",15426734,15427134,401,"*",5,"intron"
"chr2",15461565,15461965,401,"*",5,"CDS"
"chr2",15473156,15473556,401,"*",4,"CDS"
"chr2",15500213,15500613,401,"*",5,"intron"
"chr2",17722758,17723158,401,"*",4,"intron"
"chr2",17745687,17746087,401,"*",4,"fiveUTR"
"chr2",17775466,17775866,401,"*",4,"intron"
"chr2",19345947,19346347,401,"*",5,"intron"
"chr2",19837478,19837878,401,"*",5,"intergenic"
"chr2",19901271,19901671,401,"*",179,"promoter"
